step,global_index,task_key,task_local_idx,pred,true,support_size,pool_size,pool_rmse,pool_r2
0,380,task_02,32,0.9047756195068359,4.207604885101318,11,1169,1.0278985500335693,-0.06414705285661215
1,1044,task_06,0,1.6239967346191406,1.5421836376190186,12,1168,1.0308046340942383,-0.07145831333163377
2,597,task_03,75,1.549640417098999,3.006878614425659,13,1167,1.0318642854690552,-0.08120446727018127
3,663,task_03,141,1.7671401500701904,-0.42267242074012756,14,1166,1.0233694314956665,-0.06272574284594579
4,1128,task_06,84,1.7247121334075928,2.008126974105835,15,1165,1.0245568752288818,-0.06804914525449601
5,1127,task_06,83,1.2740600109100342,0.5068037509918213,16,1164,1.022903561592102,-0.06393631193638272
6,828,task_04,132,1.1419179439544678,0.2834990918636322,17,1163,1.0241148471832275,-0.06561991575998172
7,50,task_00,50,0.9859569668769836,4.273788928985596,18,1162,1.0385695695877075,-0.11280353320508296
8,336,task_01,162,1.4790265560150146,3.8639779090881348,19,1161,1.0726381540298462,-0.20202470571125142
9,93,task_00,93,1.8392939567565918,4.313500881195068,20,1160,1.1023520231246948,-0.29021349529836615
10,1068,task_06,24,2.1340293884277344,4.544497013092041,21,1159,1.13437020778656,-0.3916108456983485
11,818,task_04,122,2.2824549674987793,3.6624796390533447,22,1158,1.1634844541549683,-0.4814788836223276
12,310,task_01,136,2.3689751625061035,4.1357598304748535,23,1157,1.1932224035263062,-0.582751340052577
13,961,task_05,91,2.3699586391448975,2.1754372119903564,24,1156,1.183869481086731,-0.5639964295498936
14,229,task_01,55,2.515317678451538,2.4774019718170166,25,1155,1.1823396682739258,-0.5681375101484905
15,545,task_03,23,2.4019062519073486,3.544862985610962,26,1154,1.212789535522461,-0.6692895160795114
16,1033,task_05,163,2.5851387977600098,2.845691680908203,27,1153,1.2430027723312378,-0.7664139995894321
17,349,task_02,1,2.2227957248687744,0.2845638692378998,28,1152,1.212765097618103,-0.6802344013762225
18,34,task_00,34,2.007840633392334,0.4758290648460388,29,1151,1.1891534328460693,-0.614467163576845
19,488,task_02,140,1.892359972000122,-0.506538450717926,30,1150,1.1440925598144531,-0.4934563300972967
20,417,task_02,69,1.7338941097259521,0.5121526122093201,31,1149,1.141606330871582,-0.4861272556543321
21,53,task_00,53,1.5874661207199097,-0.04100500047206879,32,1148,1.1229389905929565,-0.43667155394577883
22,596,task_03,74,1.4805537462234497,-0.5552734732627869,33,1147,1.0899709463119507,-0.3527308164487237
23,872,task_05,2,1.4833195209503174,0.016347510740160942,34,1146,1.0866292715072632,-0.3432810879601522
24,64,task_00,64,1.4296647310256958,-0.8034396171569824,35,1145,1.062376856803894,-0.28361402717455886
25,628,task_03,106,1.2851589918136597,-0.9407070279121399,36,1144,1.0432168245315552,-0.23765317192388058
26,623,task_03,101,1.2376134395599365,-0.8183332085609436,37,1143,1.0356833934783936,-0.21951630570128566
27,930,task_05,60,1.172499179840088,4.289919376373291,38,1142,1.0503474473953247,-0.27699536441425154
28,992,task_05,122,1.439456582069397,2.3821828365325928,39,1141,1.0582637786865234,-0.302939320053915
29,271,task_01,97,1.4212104082107544,2.716064453125,40,1140,1.0689955949783325,-0.3387312333991743
30,1067,task_06,23,1.5087313652038574,3.9498074054718018,41,1139,1.0829366445541382,-0.39557730533050517
31,164,task_00,164,1.520582914352417,2.3867034912109375,42,1138,1.091226577758789,-0.42461568037173225
32,379,task_02,31,1.4552663564682007,-0.10130652785301208,43,1137,1.0832196474075317,-0.40255620451894814
33,718,task_04,22,1.3209948539733887,3.499412775039673,44,1136,1.0917139053344727,-0.4425145407154991
34,993,task_05,123,1.4145194292068481,2.470237970352173,45,1135,1.103545904159546,-0.4827265613296641
35,1094,task_06,50,1.4553499221801758,0.2857329845428467,46,1134,1.1057103872299194,-0.4874235486571765
36,962,task_05,92,1.4867528676986694,3.3457677364349365,47,1133,1.119485855102539,-0.5425419110800034
37,769,task_04,73,1.524340271949768,0.4450390338897705,48,1132,1.1116756200790405,-0.520171550736255
38,633,task_03,111,1.4846479892730713,0.5038105845451355,49,1131,1.1138367652893066,-0.5252663227071408
39,850,task_04,154,1.3865560293197632,2.489068031311035,50,1130,1.1127992868423462,-0.5319114019559865
40,234,task_01,60,1.465225100517273,0.28442129492759705,51,1129,1.1153111457824707,-0.5376756508517637
41,1007,task_05,137,1.490487813949585,0.16688482463359833,52,1128,1.1073087453842163,-0.5144341899781399
42,273,task_01,99,1.4330114126205444,0.35736992955207825,53,1127,1.1028048992156982,-0.5010988626080162
43,230,task_01,56,1.4569226503372192,3.2624497413635254,54,1126,1.115784764289856,-0.5541208570181404
44,875,task_05,5,1.4439408779144287,0.5584137439727783,55,1125,1.1051254272460938,-0.5238749876626683
45,539,task_03,17,1.3760806322097778,-1.2716618776321411,56,1124,1.0907256603240967,-0.4854957133412072
46,1172,task_06,128,1.327330231666565,0.6946204304695129,57,1123,1.0784378051757812,-0.4518551929608021
47,729,task_04,33,1.3047562837600708,0.47932037711143494,58,1122,1.0818736553192139,-0.46030383462326907
48,632,task_03,110,1.408697247505188,-0.7111348509788513,59,1121,1.081034779548645,-0.45741360478274906
49,689,task_03,167,1.3233901262283325,2.1038551330566406,60,1120,1.074776530265808,-0.44689096199803013
